L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,2,0.0,32,32,1,1.0,2.141404136484463e-27,0.0,9.342052220266364,1
6,20,0.1,1.0,2,0.1,32,32,1,1.0,7.703036301312588e-07,0.0,9.343546444287233,1
6,20,0.1,1.0,2,0.2,32,32,1,1.0,1.0850266291174866e-05,0.0,9.316147861963604,1
6,20,0.1,1.0,2,0.3,32,32,1,1.0,5.295586510840876e-05,0.0,9.253976967696508,1
6,20,0.1,1.0,2,0.4,32,32,1,1.0,0.00016583916695025704,0.0,9.150434749718304,1
6,20,0.1,1.0,2,0.5,32,32,1,1.0,0.0003998108931859667,0.0,9.000261615224247,1
6,20,0.1,1.0,2,0.6,32,32,1,1.0,0.0008061572647795844,0.0,8.801371987675873,1
6,20,0.1,1.0,2,0.7,32,32,1,1.0,0.001429619639406291,0.0,8.556306339858432,1
6,20,0.1,1.0,2,0.8,32,32,1,1.0,0.002312529288521416,0.0,8.273301961438378,1
6,20,0.1,1.0,2,0.9,32,32,1,1.0,0.0035095621637617645,0.0,7.966834759596033,1
6,20,0.1,1.0,2,1.0,32,32,1,1.0,0.005098759399606572,0.0,7.657197597834503,1
6,20,0.1,1.0,2,1.1,32,32,1,1.0,0.007166282487730654,0.0,7.368571594429161,1
6,20,0.1,1.0,2,1.2,32,32,1,1.0,0.009752256427328219,0.0,7.125370456410843,1
6,20,0.1,1.0,2,1.3,32,32,1,1.0,0.012779867455527213,0.0,6.947420937362116,1
6,20,0.1,1.0,2,1.4,32,32,1,1.0,0.016028167708291973,0.0,6.845460440869198,1
6,20,0.1,1.0,2,1.5,32,32,1,1.0,0.01919679894213791,0.0,6.8187684366397034,1
6,20,0.1,1.0,2,1.6,32,32,1,1.0,0.022029199955862725,0.0,6.855931971973194,1
6,20,0.1,1.0,2,1.7,32,32,1,1.0,0.024401021457335713,0.0,6.938201519368049,1
6,20,0.1,1.0,2,1.8,32,32,1,1.0,0.026324421608291158,0.0,7.043878322854588,1
6,20,0.1,1.0,2,1.9,32,32,1,1.0,0.027898420368473165,0.0,7.15232307139164,1
6,20,0.1,1.0,2,2.0,32,32,1,1.0,0.029254445044395134,0.0,7.246923952319085,1
6,20,0.1,1.0,3,0.0,32,32,1,1.0,2.141404136484463e-27,0.0,9.255243795298279,1
6,20,0.1,1.0,3,0.1,32,32,1,1.0,2.8298299601860015e-06,0.0,9.219954576149691,1
6,20,0.1,1.0,3,0.2,32,32,1,1.0,4.20213266868701e-05,0.0,9.156883529803597,1
6,20,0.1,1.0,3,0.3,32,32,1,1.0,0.0002110689552228819,0.0,9.062277686649287,1
6,20,0.1,1.0,3,0.4,32,32,1,1.0,0.0006654471810879744,0.0,8.931217930565632,1
